,Company,Amount
0,CLEAN.NS,1008440
0,DEVYANI.NS,950664
0,POONAWALLA.NS,1577418
0,TANLA.NS,719565
0,FEDERALBNK.NS,3466710
0,RAJESHEXPO.NS,489976
0,MSUMI.NS,541580
0,AAVAS.NS,191808
0,NAVINFLUOR.NS,5323064
0,IEX.NS,1335248
0,VINATIORGA.NS,321874
0,ISEC.NS,883456
0,GICRE.NS,6177120
0,WHIRLPOOL.NS,4174992
0,L&TFH.NS,3524793
0,GRINDWELL.NS,477086
0,PFIZER.NS,412976
0,EMAMILTD.NS,1007361
0,PRESTIGE.NS,22857
0,LICHSGFIN.NS,2773299
0,M&MFIN.NS,4318526
0,PHOENIXLTD.NS,926120
0,SUNTV.NS,321300
0,INDIANB.NS,1344486
0,SUNDRMFAST.NS,0
0,BANKINDIA.NS,5671760
0,JKCEMENT.NS,2332093
0,NIACL.NS,72186
0,RAMCOCEM.NS,1261746
0,DCMSHRIRAM.NS,0
0,CHAMBLFERT.NS,3624138
0,SKFINDIA.NS,924322
0,SANOFI.NS,111405
0,BHEL.NS,13646475
0,BCG.NS,6428214
0,SFL.NS,1209
0,APTUS.NS,68580
0,AFFLE.NS,340464
0,METROBRAND.NS,1138176
0,KPITTECH.NS,17377336
0,BLUEDART.NS,449890
0,KAJARIACER.NS,274505
0,TIMKEN.NS,275745
0,CENTRALBK.NS,743499
0,CENTURYPLY.NS,18833
0,GILLETTE.NS,4909
0,SUVENPHAR.NS,1848744
0,AJANTPHARM.NS,253622
0,GODREJIND.NS,288144
0,HAPPSTMNDS.NS,1098500
0,CDSL.NS,6570168
0,ENDURANCE.NS,51874
0,ABSLAMC.NS,79982
0,AIAENG.NS,801878
0,NH.NS,69792
0,IRB.NS,385494
0,CARBORUNIV.NS,62937
0,POWERINDIA.NS,678756
0,GRINFRA.NS,125776
0,GSPL.NS,281428
0,ALKYLAMINE.NS,146496
0,APLLTD.NS,22008
0,ZFCVINDIA.NS,771420
0,UCOBANK.NS,6665247
0,NUVOCO.NS,227903
0,NATCOPHARM.NS,269261
0,BASF.NS,9368
