,Company,Amount
0,RELIANCE.NS,232638744
0,TCS.NS,79589540
0,HDFCBANK.NS,79517368
0,INFY.NS,97110840
0,ICICIBANK.NS,49059928
0,HINDUNILVR.NS,45695850
0,SBIN.NS,115215704
0,BAJFINANCE.NS,163760808
0,HDFC.NS,66973004
0,BHARTIARTL.NS,55812864
0,KOTAKBANK.NS,38619572
0,WIPRO.NS,10136764
0,HCLTECH.NS,19553301
0,ITC.NS,127214382
0,ADANIGREEN.NS,114265320
0,ASIANPAINT.NS,30529510
0,BAJAJFINSV.NS,52784961
0,ADANITRANS.NS,11248494
0,DMART.NS,9030706
0,LT.NS,52236519
0,ATGL.NS,1815054
0,AXISBANK.NS,91644308
0,MARUTI.NS,79077572
0,TITAN.NS,17342328
0,ADANIENT.NS,1214212260
0,SUNPHARMA.NS,5275398
0,ONGC.NS,4966819
0,ULTRACEMCO.NS,31131234
0,JSWSTEEL.NS,9426872
0,ADANIPORTS.NS,330031832
0,TATASTEEL.NS,68799687
0,POWERGRID.NS,18537177
0,VEDL.NS,21614811
0,TECHM.NS,16203642
0,TATAMOTORS.NS,60363210
0,HINDZINC.NS,73172220
0,NTPC.NS,11952600
0,HINDALCO.NS,53854284
0,PIDILITIND.NS,3052300
0,DIVISLAB.NS,68628564
0,HDFCLIFE.NS,193141137
0,COALINDIA.NS,20740405
0,SBILIFE.NS,33181664
0,IOC.NS,5496109
0,GRASIM.NS,44071650
0,BAJAJ-AUTO.NS,21515520
0,M&M.NS,20394400
0,DABUR.NS,14779128
0,DLF.NS,17483300
0,SHREECEM.NS,5185566
0,SIEMENS.NS,49439040
0,CIPLA.NS,11287770
0,SBICARD.NS,4334455
0,NYKAA.NS,61551640
0,SRF.NS,8157510
0,BPCL.NS,4692969
0,INDIGO.NS,2299704
0,BRITANNIA.NS,33162850
0,GODREJCP.NS,18350780
0,TATAPOWER.NS,21581375
0,INDUSINDBK.NS,27040728
0,HAVELLS.NS,8894725
0,ICICIPRULI.NS,8942646
0,TATACONSUM.NS,4584543
0,DRREDDY.NS,10579896
0,ADANIPOWER.NS,16233876
0,GAIL.NS,11532145
0,BERGEPAINT.NS,1269002
0,EICHERMOT.NS,20927187
0,AWL.NS,319429570
0,ICICIGI.NS,297000
0,MARICO.NS,12802843
0,APOLLOHOSP.NS,20526180
0,ZOMATO.NS,269796340
0,MCDOWELL-N.NS,1414308
0,MPHASIS.NS,1340688
0,IRCTC.NS,10469120
0,INDUSTOWER.NS,6197280
0,AMBUJACEM.NS,256995405
0,CHOLAFIN.NS,4679556
0,UPL.NS,11362596
0,NAUKRI.NS,13492035
0,BANKBARODA.NS,34324982
0,BAJAJHLDNG.NS,505802
0,TATAELXSI.NS,6197520
0,JINDALSTEL.NS,15763184
0,LODHA.NS,409190
0,LTTS.NS,14487018
0,GLAND.NS,67898088
0,MUTHOOTFIN.NS,4237101
0,PEL.NS,47446784
0,BEL.NS,11627712
0,JSWENERGY.NS,350775
0,HAL.NS,26717250
0,BANDHANBNK.NS,22399080
0,PAGEIND.NS,12755920
0,NMDC.NS,5677728
0,TORNTPHARM.NS,3406640
0,PGHH.NS,382872
0,GODREJPROP.NS,1802808
0,IDBI.NS,3236205
0,HEROMOTOCO.NS,39280328
0,HDFCAMC.NS,2662896
0,ABB.NS,13478144
0,TRENT.NS,70089354
0,ALKEM.NS,2483976
0,PIIND.NS,1285396
0,BOSCHLTD.NS,3265020
0,COLPAL.NS,1309710
0,CANBK.NS,40219520
0,BALKRISIND.NS,3446784
0,VOLTAS.NS,4124715
0,CONCOR.NS,4875160
0,STARHEALTH.NS,1326600
0,VBL.NS,20019008
0,SAIL.NS,35862456
0,ASTRAL.NS,4602712
0,ACC.NS,61296876
0,BIOCON.NS,4091978
0,SONACOMS.NS,4068117
0,UBL.NS,992563
0,AUBANK.NS,6156780
0,AUROPHARMA.NS,28265016
0,PNB.NS,41217050
0,HINDPETRO.NS,4768130
0,PERSISTENT.NS,7907979
0,ZYDUSLIFE.NS,14402490
0,POLYCAB.NS,41062191
0,HONAUT.NS,7820460
0,TATACOMM.NS,5488340
0,JUBLFOOD.NS,41190330
0,AARTIIND.NS,5584070
0,GUJGASLTD.NS,3156000
0,ASHOKLEY.NS,7201824
0,IOB.NS,16834473
0,PAYTM.NS,213804932
0,OBEROIRLTY.NS,17999571
0,LUPIN.NS,3695076
0,MAXHEALTH.NS,2827000
0,BHARATFORG.NS,9417255
0,TTML.NS,5910609
0,LINDEINDIA.NS,106688
0,LAURUSLABS.NS,4303754
0,INDHOTEL.NS,7933849
0,TIINDIA.NS,761229
0,POLICYBZR.NS,12477864
0,CUMMINSIND.NS,122239200
0,OFSS.NS,1917600
0,YESBANK.NS,7590176
0,DEEPAKNTR.NS,7580846
0,ATUL.NS,1317417
0,SCHAEFFLER.NS,2280960
0,FLUOROCHEM.NS,5488586
0,PFC.NS,10924962
0,TVSMOTOR.NS,9525456
0,PETRONET.NS,1877344
0,ABFRL.NS,29908489
0,GLAXO.NS,10240
0,IRFC.NS,2194740
0,DALBHARAT.NS,12104221
0,NHPC.NS,6357040
0,IDEA.NS,13993497
0,ZEEL.NS,9086220
0,MRF.NS,15547831
0,TRIDENT.NS,784672
0,COFORGE.NS,19241008
0,IPCALAB.NS,1804290
0,RELAXO.NS,469430
