Page Industries,PAGEIND,cmp,fmp,price diff,per diff,Lot size,amount
Hindustan Zinc,HINDZINC,519.2,509.65,-9.55,-1.839368259,1225,636020
Dabur,DABUR,486.05,487.9,1.85,0.380619278,1250,607562.5
Jubilant FoodWorks,JUBLFOOD,685.85,686.55,0.7,0.102063133,1250,857312.5
Power Finance Corporation,PFC,428.7,427.8,-0.9,-0.209937019,1300,557310
Tata Power,TATAPOWER,412.4,411,-1.4,-0.339476237,1350,556740
UPL,UPL,634.5,638,3.5,0.551615445,1355,859747.5
Rail Vikas Nigam,RVNL,427.3,429.9,2.6,0.6084718,1375,587537.5
Hindalco Industries,HINDALCO,655.3,657.2,1.9,0.289943537,1400,917420
Poonawalla Fincorp,POONAWALLA,426.95,428.2,1.25,0.29277433,1450,619077.5
NTPC,NTPC,338.15,339.1,0.95,0.280940411,1500,507225
Petronet LNG,PETRONET,309.65,311.1,1.45,0.468270628,1500,464475
Delhivery,DELHIVERY,364.85,366.85,2,0.548170481,1525,556396.25
IIFL Finance,IIFL,483.7,485.45,1.75,0.361794501,1550,749735
ITC,ITC,425.55,426.65,1.1,0.258489014,1600,680880
Jio Financial Services,JIOFIN,302.6,303.85,1.25,0.413086583,1650,499290
Indus Towers,INDUSTOWER,387.2,387.7,0.5,0.129132231,1700,658240
Laurus Labs,LAURUSLABS,676.5,678.5,2,0.29563932,1700,1150050
NCC,NCC,237.52,238.61,1.09,0.458908723,1775,421598
Bharat Petroleum,BPCL,334,335,1,0.299401198,1800,601200
Crompton Greaves,CROMPTON,352.4,354.3,1.9,0.539160045,1800,634320
Exide Industries,EXIDEIND,406.3,406.6,0.3,0.073837066,1800,731340
Power Grid Corporation of India,POWERGRID,295.1,296.8,1.7,0.576075906,1800,531180
Oil & Natural Gas Corporation,ONGC,247.45,248.6,1.15,0.464740352,1925,476341.25
Eternal,ETERNAL,257.1,257.73,0.63,0.24504084,2000,514200
Hindustan Petroleum,HINDPETRO,414.9,416.85,1.95,0.469992769,2025,840172.5
M&M Financial Services,M&MFIN,280.5,281.3,0.8,0.285204991,2056,576708
GAIL,GAIL,200.05,200.81,0.76,0.379905024,2350,470117.5
HUDCO,HUDCO,239.2,240.2,1,0.418060201,2425,580060
Ashok Leyland,ASHOKLEY,239.62,240.88,1.26,0.525832568,2500,599050
Biocon,BIOCON,355,355.6,0.6,0.169014085,2500,887500
Piramal Pharma,PPLPHARMA,204.6,205.37,0.77,0.376344086,2500,511500
RBL Bank,RBLBANK,220.5,222.29,1.79,0.811791383,2500,551250
Aditya Birla Fashion & Retail,ABFRL,77.26,77.42,0.16,0.207092933,2600,200876
Bharat Heavy Electricals,BHEL,257.15,258.25,1.1,0.427765895,2625,675018.75
Hindustan Copper,HINDCOPPER,258.89,259.98,1.09,0.421028236,2650,686058.5
Aditya Birla Capital,ABCAPITAL,246.22,247.21,0.99,0.402079441,2700,664794
Indraprastha Gas,IGL,211.6,212.25,0.65,0.307183365,2750,581900
Bandhan Bank,BANDHANBNK,182.35,182.7,0.35,0.19193858,2800,510580
Bharat Electronics,BEL,392.25,393.2,0.95,0.242192479,2850,1117912.5
IREDA,IREDA,182.5,173,-9.5,-5.205479452,2900,529250
Bank of Baroda,BANKBARODA,242.95,243.81,0.86,0.353982301,2925,710628.75
CESC,CESC,171.5,171.75,0.25,0.145772595,2925,501637.5
Nykaa,NYKAA,198.87,199.16,0.29,0.145823905,2950,586666.5
Manappuram Finance,MANAPPURAM,268.31,269.07,0.76,0.283254444,3000,804930
